source,destination,status,note
https://mobiledetailingvancouverisland.ca/real-work-before-after,https://mr-suds.ca/realwork/index.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/tesla-model-x-detailing-victoria,https://mr-suds.ca/realwork/tesla-model-x-detailing-victoria.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/chevrolet-cobalt-mold-detailing-victoria,https://mr-suds.ca/realwork/chevrolet-cobalt-mold-detailing-victoria.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/honda-crv-mobile-detailing-maple-bay,https://mr-suds.ca/realwork/honda-crv-mobile-detailing-maple-bay.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/chemainus-sedan-mobile-detailing,https://mr-suds.ca/realwork/chemainus-sedan-mobile-detailing.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/bmw-x7-premium-detailing-victoria,https://mr-suds.ca/realwork/bmw-x7-premium-detailing-victoria.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/ceramic-coating-tesla-model-y,https://mr-suds.ca/realwork/ceramic-coating-tesla-model-y.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/duncan-tesla-model3-detailing,https://mr-suds.ca/realwork/duncan-tesla-model3-detailing.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/rivian-r1s-mobile-detailing-mill-bay,https://mr-suds.ca/realwork/rivian-r1s-mobile-detailing-mill-bay.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/porsche-taycan-mobile-detailing-victoria,https://mr-suds.ca/realwork/porsche-taycan-mobile-detailing-victoria.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/ford-f150-full-detailing-mill-bay,https://mr-suds.ca/realwork/ford-f150-full-detailing-mill-bay.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/toyota-tacoma-detailing-cowichan-bay,https://mr-suds.ca/realwork/toyota-tacoma-detailing-cowichan-bay.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/dodge-ram-detailing-shawnigan-lake,https://mr-suds.ca/realwork/dodge-ram-detailing-shawnigan-lake.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/honda-fit-mobile-detailing-victoria-bc,https://mr-suds.ca/realwork/honda-fit-mobile-detailing-victoria-bc.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/mobile-detailing-for-tesla-model-x,https://mr-suds.ca/realwork/mobile-detailing-for-tesla-model-x.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/jeep-wrangler-mobile-detailing,https://mr-suds.ca/realwork/jeep-wrangler-mobile-detailing.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/mazda-cx9-mobile-detailing-mill-bay,https://mr-suds.ca/realwork/mazda-cx9-mobile-detailing-mill-bay.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/chevrolet-2500-work-truck-detailing-vancouver-island,https://mr-suds.ca/realwork/chevrolet-2500-work-truck-detailing-vancouver-island.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/honda-crv-pet-hair-removal-cowichan-bay,https://mr-suds.ca/realwork/honda-crv-pet-hair-removal-cowichan-bay.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/sidney-subaru-crosstrek-detailing,https://mr-suds.ca/realwork/sidney-subaru-crosstrek-detailing.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/full-trailer-detailing-vancouver-island,https://mr-suds.ca/realwork/full-trailer-detailing-vancouver-island.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/ford-f350-mobile-detailing-shawnigan-lake,https://mr-suds.ca/realwork/ford-f350-mobile-detailing-shawnigan-lake.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/toyota-matrix-pre-sale-detailing-cowichan-bay,https://mr-suds.ca/realwork/toyota-matrix-pre-sale-detailing-cowichan-bay.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/dodge-caravan-mobile-detailing-mill-bay,https://mr-suds.ca/realwork/dodge-caravan-mobile-detailing-mill-bay.html,301,Enable only after destination is deployed
https://mobiledetailingvancouverisland.ca/ram-promaster-commercial-van-detailing,https://mr-suds.ca/realwork/ram-promaster-commercial-van-detailing.html,301,Enable only after destination is deployed
